Monitoring cluster status at http://localhost:8080... (Ctrl+C to stop)
Time | Leader ID | State | Term
20:00:59 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:00 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:01 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:02 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:03 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:04 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:05 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:06 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:07 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:08 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:09 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:10 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:11 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:12 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:13 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:14 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:16 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:17 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:18 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:19 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:20 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:21 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:22 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:01:23 | FAILED TO CONNECT
20:01:24 | FAILED TO CONNECT
20:01:25 | FAILED TO CONNECT
20:01:26 | null | CANDIDATE | 1
20:01:27 | null | CANDIDATE | 1
20:01:28 | null | CANDIDATE | 1
20:01:29 | null | CANDIDATE | 1
20:01:30 | null | CANDIDATE | 2
20:01:31 | null | CANDIDATE | 2
20:01:32 | null | CANDIDATE | 2
20:01:33 | null | CANDIDATE | 2
20:01:34 | null | CANDIDATE | 2
20:01:35 | node-066b2bb7-68e0-4144-b7c8-4e4f78bcbf13 | LEADER | 3
20:01:36 | node-066b2bb7-68e0-4144-b7c8-4e4f78bcbf13 | LEADER | 3
20:01:37 | node-066b2bb7-68e0-4144-b7c8-4e4f78bcbf13 | LEADER | 3
20:01:38 | node-066b2bb7-68e0-4144-b7c8-4e4f78bcbf13 | LEADER | 3
20:01:39 | node-066b2bb7-68e0-4144-b7c8-4e4f78bcbf13 | LEADER | 3
20:01:40 | node-066b2bb7-68e0-4144-b7c8-4e4f78bcbf13 | LEADER | 3
20:01:41 | node-066b2bb7-68e0-4144-b7c8-4e4f78bcbf13 | LEADER | 3
20:01:42 | node-066b2bb7-68e0-4144-b7c8-4e4f78bcbf13 | LEADER | 3
20:01:43 | node-066b2bb7-68e0-4144-b7c8-4e4f78bcbf13 | LEADER | 3
20:01:44 | node-066b2bb7-68e0-4144-b7c8-4e4f78bcbf13 | LEADER | 3
20:01:45 | node-066b2bb7-68e0-4144-b7c8-4e4f78bcbf13 | LEADER | 3
20:01:46 | node-066b2bb7-68e0-4144-b7c8-4e4f78bcbf13 | LEADER | 3
20:01:47 | node-066b2bb7-68e0-4144-b7c8-4e4f78bcbf13 | LEADER | 3
20:01:48 | node-066b2bb7-68e0-4144-b7c8-4e4f78bcbf13 | LEADER | 3
20:01:50 | node-066b2bb7-68e0-4144-b7c8-4e4f78bcbf13 | LEADER | 3
20:01:51 | node-066b2bb7-68e0-4144-b7c8-4e4f78bcbf13 | LEADER | 3
20:01:52 | node-066b2bb7-68e0-4144-b7c8-4e4f78bcbf13 | LEADER | 3
20:01:53 | node-066b2bb7-68e0-4144-b7c8-4e4f78bcbf13 | LEADER | 3
20:01:54 | node-066b2bb7-68e0-4144-b7c8-4e4f78bcbf13 | LEADER | 3
